Antiguedad_Meses,Factura_Mensual,Reclamos_Soporte,Datos_GB,Cancelo_Servicio
37,66.87,1,86.9,1
44,25.63,2,81.9,1
35,31.88,5,67.25,1
65,31.75,1,57.33,0
47,84.92,1,13.26,1
3,94.6,2,43.8,1
1,78.34,1,40.41,1
5,116.22,2,29.68,1
14,57.49,0,73.72,1
27,48.57,2,52.11,1
9,106.86,2,12.7,1
15,42.36,3,25.92,1
42,116.32,2,69.91,1
51,21.22,2,12.23,1
63,116.99,5,85.86,1
52,24.32,0,52.04,0
4,109.11,3,50.66,1
23,72.77,5,61.28,1
15,119.3,4,83.34,1
43,27.38,0,38.04,0
29,75.39,0,69.41,1
36,116.93,4,58.74,1
13,72.31,2,30.37,1
32,82.94,5,88.47,1
71,89.57,1,80.76,0
59,65.45,3,67.55,1
28,82.76,1,85.81,1
66,78.43,4,87.39,1
42,110.12,0,72.29,1
45,24.54,0,84.52,0
62,48.1,3,71.26,1
57,115.04,0,69.61,0
6,109.03,0,63.77,1
28,65.57,3,76.51,1
28,82.01,5,20.07,1
44,47.74,5,88.68,1
30,38.81,3,87.83,1
62,66.37,4,7.78,1
62,55.34,0,83.45,0
1,78.37,0,17.24,1
27,27.77,4,36.84,1
62,117.44,5,75.63,1
3,118.62,2,20.27,1
70,89.82,2,82.71,1
27,73.61,2,84.05,1
9,50.95,5,53.21,1
62,101.38,5,5.61,1
37,88.47,4,32.27,1
51,36.26,0,63.61,0
44,111.09,4,98.21,1
24,102.25,4,65.02,1
59,114.98,5,29.68,1
32,92.57,2,65.23,1
52,81.34,1,56.3,1
62,61.82,0,79.09,0
58,113.27,5,15.16,1
52,106.61,2,77.3,1
12,24.52,1,56.42,1
39,22.64,1,96.48,1
2,57.65,5,37.48,1
3,101.06,3,65.1,1
56,118.73,0,93.54,0
59,35.04,1,14.74,0
2,79.41,5,94.04,1
2,58.09,5,70.35,1
54,116.99,2,11.44,1
1,104.21,3,33.59,1
19,103.83,0,72.28,1
2,66.87,4,11.4,1
53,61.48,2,60.31,1
44,47.34,1,37.86,1
32,25.64,1,63.99,1
70,106.47,2,9.35,1
32,101.29,5,87.8,1
68,119.97,1,97.48,1
55,119.66,3,97.04,1
56,75.54,0,76.22,0
17,96.9,3,17.36,1
38,114.48,1,77.04,1
24,104.96,4,7.34,1
69,44.73,0,7.1,0
70,65.05,0,35.74,0
11,32.92,2,51.42,1
16,115.41,2,78.19,1
59,80.62,4,69.91,1
70,42.86,5,47.36,1
3,87.17,0,30.99,1
20,81.81,4,99.73,1
59,55.82,2,45.49,1
36,31.36,2,47.88,1
19,87.16,0,20.54,1
67,72.03,3,80.51,1
19,97.23,1,70.9,1
20,72.02,2,25.97,1
71,105.22,5,12.83,1
52,75.19,5,69.65,1
33,76.09,2,67.18,1
40,107.67,3,30.96,1
39,60.35,3,95.33,1
1,33.4,4,19.35,1
11,22.88,5,46.07,1
57,95.51,4,94.64,1
50,82.03,5,44.87,1
23,90.41,1,65.66,1
31,41.3,1,42.77,1
42,33.64,0,31.05,0
7,21.45,4,98.48,1
16,55.06,2,43.89,1
60,78.99,4,89.94,1
2,59.22,2,26.85,1
1,63.75,3,25.24,1
48,110.42,4,7.96,1
12,54.83,3,66.91,1
69,71.4,1,40.01,0
37,98.37,1,87.11,1
32,59.65,0,49.95,0
9,82.21,4,96.98,1
19,106.24,3,22.62,1
48,114.95,2,87.52,1
3,34.71,1,78.78,1
20,112.66,1,78.24,1
24,69.21,2,85.25,1
54,45.82,3,77.3,1
33,65.91,3,64.49,1
24,118.0,4,17.47,1
36,69.26,4,8.09,1
38,52.88,5,92.48,1
25,83.34,5,63.58,1
18,44.01,0,80.67,0
66,27.59,1,50.74,0
54,32.89,4,16.14,1
35,32.8,3,16.89,1
61,35.19,2,70.13,1
41,33.88,3,45.88,1
33,84.09,1,24.05,1
68,38.19,5,51.7,1
33,54.57,3,11.1,1
14,109.68,0,60.29,1
21,67.4,1,30.55,1
48,86.76,5,80.77,1
20,37.23,2,34.48,1
8,39.23,5,48.25,1
7,24.09,0,6.1,1
67,36.89,1,11.88,0
17,47.86,2,42.29,1
33,37.7,0,50.59,0
48,28.87,5,62.0,1
59,32.06,0,32.71,0
22,66.08,1,71.02,1
30,40.63,4,86.71,1
38,56.43,0,79.09,0
51,70.34,0,8.76,0
54,89.04,5,50.65,1
8,23.93,5,14.97,1
27,99.94,2,27.99,1
27,82.79,5,98.73,1
21,28.18,3,18.54,1
30,107.36,1,52.39,1
28,112.09,1,63.72,1
64,26.11,4,71.73,1
69,47.69,4,58.17,1
61,100.62,1,5.93,1
48,94.83,4,36.01,1
19,38.45,2,54.18,1
4,40.93,5,13.35,1
35,57.05,1,38.31,1
64,68.45,4,8.15,1
49,81.83,1,12.46,1
17,56.89,3,42.71,1
44,66.25,0,17.61,0
30,94.75,5,58.92,1
46,23.67,1,70.5,0
6,45.24,0,81.06,1
37,91.33,4,24.01,1
24,109.52,0,20.91,1
46,71.17,5,14.93,1
53,73.21,1,65.46,1
60,30.72,3,72.12,1
63,64.74,4,8.0,1
32,73.26,1,93.94,1
33,44.25,5,9.94,1
67,46.92,4,56.42,1
18,57.73,2,72.36,1
25,22.01,0,87.74,0
54,52.21,5,72.84,1
58,41.14,2,81.16,1
67,52.75,1,37.25,0
46,31.98,3,82.41,1
24,109.05,4,12.61,1
32,79.36,0,90.01,0
47,87.91,4,57.02,1
23,98.92,1,82.64,1
66,69.84,4,47.97,1
27,28.69,0,66.14,0
2,73.71,1,55.01,1
17,78.68,4,74.5,1
33,94.54,3,12.75,1
9,63.17,5,10.73,1
43,32.76,1,28.47,1
48,48.38,5,20.16,1
39,56.31,1,87.82,1
42,84.59,3,25.83,1
26,77.08,5,97.71,1
50,55.61,2,37.01,1
25,118.65,0,22.3,1
24,80.58,2,80.02,1
13,43.72,4,67.58,1
60,30.18,3,52.33,1
7,35.29,2,57.76,1
57,44.6,1,73.32,0
36,36.07,4,26.7,1
45,38.66,4,99.65,1
20,48.51,2,97.61,1
65,37.34,2,66.78,1
8,109.68,3,23.96,1
16,28.02,0,69.62,0
14,72.45,2,11.86,1
15,61.04,2,7.91,1
66,118.24,5,29.48,1
32,31.2,1,48.95,1
63,59.79,5,87.49,1
51,116.95,5,74.08,1
25,106.55,4,75.56,1
58,101.71,0,45.42,0
63,45.79,1,37.86,0
62,37.09,3,40.25,1
22,86.86,3,98.83,1
58,112.94,2,8.81,1
58,75.68,2,87.37,1
49,77.16,3,59.97,1
52,48.0,2,46.67,1
42,96.95,0,73.9,0
70,38.7,5,51.23,1
15,52.37,2,87.98,1
54,62.54,4,90.57,1
60,70.76,2,45.06,1
8,44.24,1,31.3,1
53,31.48,0,61.27,0
60,81.06,1,91.67,1
5,48.86,1,25.01,1
68,78.12,4,64.18,1
6,35.44,0,65.0,1
47,68.11,0,74.65,0
55,73.26,0,17.5,0
40,25.18,0,73.0,0
52,53.66,0,91.36,0
16,33.44,4,22.07,1
13,26.34,2,27.57,1
30,119.0,1,97.28,1
19,52.24,0,22.19,1
17,100.99,2,86.17,1
63,45.46,2,51.77,1
19,88.15,1,28.49,1
58,96.02,4,87.72,1
55,79.56,3,47.3,1
62,67.16,3,53.91,1
23,61.18,2,39.13,1
9,54.89,5,61.33,1
12,112.95,5,20.53,1
1,103.06,1,42.15,1
58,116.5,3,97.09,1
1,32.43,2,29.52,1
34,93.09,4,67.39,1
48,113.83,3,35.89,1
1,38.12,2,78.48,1
16,26.65,2,17.43,1
61,94.11,0,97.13,0
64,77.45,4,48.11,1
63,104.18,0,27.42,0
69,33.98,1,11.98,0
22,99.53,0,21.13,1
67,40.16,0,54.38,0
26,36.37,3,37.02,1
16,36.43,5,83.74,1
51,101.46,2,45.93,1
57,86.52,4,28.63,1
29,72.31,0,63.63,0
69,55.88,4,72.14,1
47,107.72,5,20.87,1
62,59.24,5,20.92,1
69,101.66,0,8.48,0
16,63.91,1,74.96,1
48,57.69,0,68.06,0
39,66.27,3,50.09,1
33,50.14,2,85.2,1
23,94.76,1,81.54,1
10,70.27,0,60.61,1
69,43.22,4,87.49,1
34,109.96,1,24.55,1
52,58.39,1,15.63,1
10,74.36,0,30.63,1
19,110.65,1,10.42,1
58,82.42,4,55.46,1
1,31.69,5,93.98,1
69,113.98,1,8.74,1
4,82.77,5,16.6,1
16,53.49,4,47.96,1
24,33.93,0,93.72,0
2,99.4,2,35.03,1
32,82.01,1,53.19,1
24,73.35,2,8.95,1
12,109.39,4,19.09,1
50,98.86,1,98.73,1
35,35.17,5,96.69,1
33,51.17,3,5.47,1
